id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,Norte,16/08/2001,2168.5625
N,Norte,17/08/2001,2136.3125
N,Norte,18/08/2001,2073.741667
N,Norte,19/08/2001,1992.2375
N,Norte,20/08/2001,2155.3375
N,Norte,21/08/2001,2143.258333
N,Norte,22/08/2001,2130.75
N,Norte,23/08/2001,2133.4625
N,Norte,24/08/2001,2144.320833
N,Norte,25/08/2001,2051.416667
N,Norte,26/08/2001,1960.804167
N,Norte,27/08/2001,2119.154167
N,Norte,28/08/2001,2152.3125
N,Norte,29/08/2001,2145.1
N,Norte,30/08/2001,2135.745833
N,Norte,31/08/2001,2114.858333
N,Norte,01/09/2001,2044.595833
N,Norte,02/09/2001,1960.733333
N,Norte,03/09/2001,2131.796667
N,Norte,04/09/2001,2125.475
N,Norte,05/09/2001,2109.675
N,Norte,06/09/2001,2094.791667
N,Norte,07/09/2001,1968.970833
N,Norte,08/09/2001,1980.783333
N,Norte,09/09/2001,1933.208333
N,Norte,10/09/2001,2111.745833
N,Norte,11/09/2001,2127.55
N,Norte,12/09/2001,2121.145833
N,Norte,13/09/2001,2096.083333
N,Norte,14/09/2001,2063.691667
N,Norte,15/09/2001,2009.9875
N,Norte,16/09/2001,1936.820833
N,Norte,17/09/2001,2099.5125
N,Norte,18/09/2001,2099.641667
N,Norte,19/09/2001,2106.7125
N,Norte,20/09/2001,2122.7125
N,Norte,21/09/2001,2119.479167
N,Norte,22/09/2001,2014.445833
N,Norte,23/09/2001,1943.829167
N,Norte,24/09/2001,2110.979167
N,Norte,25/09/2001,2114.6875
N,Norte,26/09/2001,2128.4
N,Norte,27/09/2001,2143.416667
N,Norte,28/09/2001,2141.075
N,Norte,29/09/2001,2053.866667
N,Norte,30/09/2001,1946.2625
N,Norte,01/10/2001,2126.429167
N,Norte,02/10/2001,2123.916667
N,Norte,03/10/2001,2129.325
N,Norte,04/10/2001,2129.845833
N,Norte,05/10/2001,2131.716667
N,Norte,06/10/2001,2019.541667
N,Norte,07/10/2001,1970.008333
N,Norte,08/10/2001,2131.679167
N,Norte,09/10/2001,2149.991667
N,Norte,10/10/2001,2148.9125
N,Norte,11/10/2001,2144.379167
N,Norte,12/10/2001,2037.575
N,Norte,13/10/2001,2039.35
N,Norte,14/10/2001,1869.008333
N,Norte,15/10/2001,2080.575
N,Norte,16/10/2001,2105.916667
N,Norte,17/10/2001,2121.258333
N,Norte,18/10/2001,2146.191667
N,Norte,19/10/2001,2146.15
N,Norte,20/10/2001,2061.079167
N,Norte,21/10/2001,1973.122083
N,Norte,22/10/2001,2127.345833
N,Norte,23/10/2001,2164.325
N,Norte,24/10/2001,2164.879167
N,Norte,25/10/2001,2128.975
N,Norte,26/10/2001,2106.0875
N,Norte,27/10/2001,2040.570833
N,Norte,28/10/2001,1988.241667
N,Norte,29/10/2001,2105.975
N,Norte,30/10/2001,2155.579167
N,Norte,31/10/2001,2181.3875
N,Norte,01/11/2001,2134.479167
N,Norte,02/11/2001,1999.9125
N,Norte,03/11/2001,2035.225
N,Norte,04/11/2001,1973.804167
N,Norte,05/11/2001,2129.45
N,Norte,06/11/2001,2152.93375
N,Norte,07/11/2001,2151.958333
N,Norte,08/11/2001,2131.266667
N,Norte,09/11/2001,2131.475
N,Norte,10/11/2001,2077.0125
N,Norte,11/11/2001,1977.816667
N,Norte,12/11/2001,2131.632083
N,Norte,13/11/2001,2133.9875
N,Norte,14/11/2001,2138.579167
N,Norte,15/11/2001,2027.170833
N,Norte,16/11/2001,2092.879167
N,Norte,17/11/2001,2045.029167
N,Norte,18/11/2001,1969.441667
N,Norte,19/11/2001,2073.495833
N,Norte,20/11/2001,2063.391667
N,Norte,21/11/2001,2066.858333
N,Norte,22/11/2001,2054.758333
N,Norte,23/11/2001,2040.083333
N,Norte,24/11/2001,1985.6375
N,Norte,25/11/2001,1919.704167
N,Norte,26/11/2001,2024.625
N,Norte,27/11/2001,2030.591667
N,Norte,28/11/2001,2048.858333
N,Norte,29/11/2001,2015.1375
N,Norte,30/11/2001,2007.025
N,Norte,01/12/2001,1951.504167
N,Norte,02/12/2001,1852.020833
N,Norte,03/12/2001,1997.125
N,Norte,04/12/2001,1978.058333
N,Norte,05/12/2001,2007.970833
N,Norte,06/12/2001,1998.3125
N,Norte,07/12/2001,2031.179167
N,Norte,08/12/2001,2001.891667
N,Norte,09/12/2001,1853.1125
N,Norte,10/12/2001,2030.9625
N,Norte,11/12/2001,2080.391667
N,Norte,12/12/2001,2094.875
N,Norte,13/12/2001,2095.545833
N,Norte,14/12/2001,2117.025
N,Norte,15/12/2001,2074.108333
N,Norte,16/12/2001,1980.4875
N,Norte,17/12/2001,2130.420833
N,Norte,18/12/2001,2136.266667
N,Norte,19/12/2001,2146.908333
N,Norte,20/12/2001,2148.416667
N,Norte,21/12/2001,2126.125
N,Norte,22/12/2001,2027.5875
N,Norte,23/12/2001,1982.3625
N,Norte,24/12/2001,2021.329167
N,Norte,25/12/2001,1952.958333
N,Norte,26/12/2001,2068.541667
N,Norte,27/12/2001,2094.070833
N,Norte,28/12/2001,2029.6
N,Norte,29/12/2001,1970.629167
N,Norte,30/12/2001,1901.016667
N,Norte,31/12/2001,1957.983333
N,Norte,01/01/2002,1940.9625
N,Norte,02/01/2002,2098.645833
N,Norte,03/01/2002,2143.125
