MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
CHAVES - PA,PA,-0.16243729,-49.98931861
CHIAPETTA - RS,RS,-27.91736475,-53.9457497
CHOPINZINHO - PR,PR,-25.85468385,-52.53396021
CHUPINGUAIA - RO,RO,-12.55684076,-60.90184775
CHUÍ - RS,RS,-33.68756687,-53.46267514
CIANORTE - PR,PR,-23.65381315,-52.60915089
CIDADE GAÚCHA - PR,PR,-23.37419739,-52.94052515
CLEMENTINA - SP,SP,-21.56031004,-50.45034869
CLEVELÂNDIA - PR,PR,-26.40520529,-52.3529862
CLÁUDIA - MT,MT,-11.50531074,-54.87418245
COARI - AM,AM,-4.084219159,-63.14218398
COCAL DO SUL - SC,SC,-28.60302287,-49.32712872
CODAJÁS - AM,AM,-3.843045933,-62.06342966
CODÓ - MA,MA,-4.4513375,-43.88608024
COELHO NETO - MA,MA,-4.2547375,-43.01401362
COLATINA - ES,ES,-19.53627008,-40.63031755
COLINA - SP,SP,-20.7187345,-48.53973833
COLNIZA - MT,MT,-9.457903847,-59.21894867
COLOMBO - PR,PR,-25.29434029,-49.22743798
COLORADO - PR,PR,-22.83789753,-51.97441621
COLORADO DO OESTE - RO,RO,-13.13056384,-60.55506746
