DC_NOME,TIPO,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
CAMPINA GRANDE,CONVENCIONAL,PB,Operante,-7.225556,-35.904722,546.27,31/12/1910,06/09/2126
CAMPOS,CONVENCIONAL,RJ,Operante,-21.7425,-41.332778,11.2,16/06/1911,25/02/2129
CANARANA,CONVENCIONAL,MT,Operante,-13.470833,-52.271111,430,03/08/1987,25/12/2127
CAPARAO,CONVENCIONAL,MG,Operante,-20.526119,-41.90913,836.25,16/11/1972,28/12/2128
CARACARAI,CONVENCIONAL,RR,Operante,1.8325,-61.120833,51.99,10/01/1970,14/08/2124
CARATINGA,CONVENCIONAL,MG,Operante,-19.735833,-42.137222,609.56,14/03/1924,11/11/2128
CARAVELAS,CONVENCIONAL,BA,Operante,-17.739444,-39.258611,6.05,30/04/1930,09/08/2128
CARBONITA,CONVENCIONAL,MG,Operante,-17.533008,-43.012091,765.37,31/12/1980,27/07/2128
CAROLINA,CONVENCIONAL,MA,Operante,-7.337222,-47.459722,182.94,31/12/1912,07/08/2126
CATALAO,CONVENCIONAL,GO,Operante,-18.170278,-47.958056,857.98,31/12/1912,06/09/2128
CAXIAS DO SUL,CONVENCIONAL,RS,Operante,-29.196111,-51.186389,750.16,11/04/1912,27/10/2129
CEARA MIRIM,CONVENCIONAL,RN,Operante,-5.653333,-35.425833,62.2,31/05/1967,19/02/2126
CHAPADINHA,CONVENCIONAL,MA,Operante,-3.742778,-43.352222,104,27/08/1976,20/07/2125
CIPO,CONVENCIONAL,BA,Operante,-11.101389,-38.524167,143.53,31/12/1934,08/10/2127
CODAJAS,CONVENCIONAL,AM,Operante,-3.841111,-62.055278,30.31,18/08/1974,25/05/2125
COLINAS,CONVENCIONAL,MA,Operante,-6.033056,-44.233333,175.56,18/05/1976,10/05/2126
CONCEICAO DO ARAGUAIA,CONVENCIONAL,PA,Operante,-8.259167,-49.263889,179.02,18/03/1920,11/11/2126
CORDEIRO,CONVENCIONAL,RJ,Operante,-22.022222,-42.364444,505.9,15/07/1971,17/03/2129
